individualPosition,gameStarttimeTSamp,同隊-TOP,同隊-JUNGLE,同隊-MIDDLE,同隊-BOTTOM,同隊-UTILITY,敵隊-TOP,敵隊-JUNGLE,敵隊-MIDDLE,敵隊-BOTTOM,敵隊-UTILITY,timePlayed,勝負,擊殺,死亡,助攻,CS,經濟-TOP,經濟-JUNGLE,經濟-MIDDLE,經濟-BOTTOM,經濟-UTILITY,傷害-TOP,傷害-JUNGLE,傷害-MIDDLE,傷害-BOTTOM,傷害-UTILITY,承傷-TOP,承傷-JUNGLE,承傷-MIDDLE,承傷-BOTTOM,承傷-UTILITY,firstBloodKill,firstBloodAssist,controlWardsPlaced,wardsPlaced,visionScore,visionScorePerMinute,wardsKilled,dragonkills,teamId,隊伍擊殺數,隊伍死亡數,teamRiftHeraldKills,teamDragon,teamElderDragonKills,teamBaronKills
BOTTOM,2022/07/08 01:06:31,Malphite,Kayn,Gangplank,Jhin,Morgana,Nasus,Ekko,Yone,Ezreal,Xerath,2544,False,6,10,13,186,15999,21759,15194,15068,10190,39627,54028,40245,29569,19965,47262,55303,46335,39157,30058,False,False,3,13,46,1.0897247864882296,3,0,100,46,52,0,2,0,0
BOTTOM,2022/07/05 00:31:42,Vayne,Shyvana,Lux,MissFortune,Rakan,Teemo,Ekko,Corki,Ashe,Nautilus,1987,False,2,15,6,141,15933,10254,13103,9153,7246,18877,21791,34207,16786,4895,20626,44201,21802,29485,27101,False,False,2,8,23,0.7179741049852008,3,0,200,22,45,0,1,0,1
BOTTOM,2022/07/04 23:54:27,Talon,Volibear,Swain,Tristana,Senna,Yone,Amumu,Lucian,Veigar,Karma,1806,True,3,5,7,142,13064,13301,13793,10723,10897,20690,16124,27106,14853,9674,23116,26917,31070,20653,9188,False,False,4,12,19,0.6617523531493285,3,0,200,37,17,0,4,0,1
BOTTOM,2022/07/04 23:07:45,Lillia,Trundle,Yone,Vayne,Leona,Aatrox,Belveth,Sylas,Kaisa,Zeri,2202,True,14,5,11,225,12203,11074,18664,19313,9336,23216,21213,36424,48829,9770,33204,51892,43653,36131,28303,False,False,0,7,14,0.3843068471951727,3,0,200,35,38,0,3,0,1
BOTTOM,2022/07/04 22:30:01,Gnar,Belveth,Katarina,Jhin,Soraka,Fiora,Kayn,Vex,Ziggs,Malphite,1593,False,1,7,5,177,10433,9029,8507,7955,5583,25144,13759,13356,10531,5140,28819,25161,24883,23078,14208,False,False,0,6,9,0.34747612507199865,0,0,200,22,34,0,0,0,0
BOTTOM,2022/07/04 00:24:57,Yone,Galio,Leblanc,Samira,Blitzcrank,Shen,Nunu,Sylas,Senna,Yuumi,2637,True,9,10,9,269,22473,12927,19344,18519,11276,71993,21719,47874,31803,15776,63674,53944,36884,43959,42403,False,False,3,11,27,0.6216238951136921,2,1,100,46,44,0,4,0,2
JUNGLE,2022/07/03 23:44:10,Vayne,Evelynn,Nunu,Tristana,Karma,Yorick,Amumu,Vex,Jhin,Lux,2140,True,8,6,10,244,18661,17011,15074,17146,11735,36960,41139,32370,19419,14103,27934,30059,36260,20931,18246,False,False,4,11,21,0.6094939591875009,4,1,100,58,29,0,3,0,1
UTILITY,2022/07/03 02:15:51,Renekton,Taliyah,Irelia,Senna,TahmKench,Graves,Shyvana,Yone,Lucian,Veigar,1927,False,6,8,12,50,13455,11806,15842,11211,12186,23354,23196,30452,15440,22184,32034,32152,41970,22180,43416,False,False,3,23,75,2.3538412960049846,14,2,200,42,40,0,3,0,1
BOTTOM,2022/07/03 02:03:30,Gnar,Nocturne,Viktor,Jhin,Janna,Sylas,Kayn,Yorick,Vayne,Nami,203,True,0,0,0,18,940,1161,946,1052,770,724,0,490,365,224,567,1844,413,369,127,False,False,0,0,0,0,0,0,200,0,0,0,0,0,0
BOTTOM,2022/07/03 01:33:08,Swain,Kayn,Renekton,Tristana,Pyke,Garen,Gwen,Yasuo,Ezreal,Anivia,1242,False,3,4,4,84,4602,6947,10983,7616,5243,9435,9441,15320,9666,3200,26395,23598,17704,14399,12603,True,False,1,5,11,0.545964157615944,3,0,200,15,37,0,0,0,0
