individualPosition,gameStarttimeTSamp,同隊-TOP,同隊-JUNGLE,同隊-MIDDLE,同隊-BOTTOM,同隊-UTILITY,敵隊-TOP,敵隊-JUNGLE,敵隊-MIDDLE,敵隊-BOTTOM,敵隊-UTILITY,timePlayed,勝負,擊殺,死亡,助攻,CS,經濟-TOP,經濟-JUNGLE,經濟-MIDDLE,經濟-BOTTOM,經濟-UTILITY,傷害-TOP,傷害-JUNGLE,傷害-MIDDLE,傷害-BOTTOM,傷害-UTILITY,承傷-TOP,承傷-JUNGLE,承傷-MIDDLE,承傷-BOTTOM,承傷-UTILITY,firstBloodKill,firstBloodAssist,controlWardsPlaced,wardsPlaced,visionScore,visionScorePerMinute,wardsKilled,dragonkills,teamId,隊伍擊殺數,隊伍死亡數,teamRiftHeraldKills,teamDragon,teamElderDragonKills,teamBaronKills
MIDDLE,2022/07/10 02:12:10,Sejuani,Vi,Azir,Tristana,Rakan,Gwen,Trundle,Taliyah,Ezreal,Gragas,1720,True,1,4,9,207,11889,11876,13010,15829,8772,21442,12966,28359,27978,9535,29884,27457,17928,17794,17225,False,False,5,14,33,1.1686731591889366,4,0,100,28,19,2,2,0,1
MIDDLE,2022/07/10 01:50:18,Gangplank,Taliyah,Yone,Kalista,Blitzcrank,Gragas,LeeSin,Azir,Draven,Renata,919,True,0,0,1,136,6126,6720,5397,7180,3949,7777,6032,5175,6711,1798,12451,8215,8162,5291,6441,False,False,2,6,14,0.9582192112568066,3,0,200,12,6,1,0,0,0
TOP,2022/07/10 01:21:50,Fiora,Poppy,Ahri,Xayah,Rakan,Irelia,Viego,Zoe,Kalista,Nautilus,1202,False,1,6,0,162,7597,6585,8909,5952,4337,5449,4739,9578,10342,3140,13710,15576,10811,12202,12360,False,False,1,6,9,0.47508965190466723,1,0,200,9,27,0,0,0,0
MIDDLE,2022/07/10 00:47:33,Sejuani,Diana,Yone,Yasuo,Rakan,Darius,RekSai,Azir,Vladimir,Galio,1655,False,2,2,2,223,9387,10043,10314,9918,5757,18742,11238,18020,6605,4694,24619,16547,18630,18749,12371,False,False,5,10,22,0.82268183215164,7,0,200,8,18,1,3,0,0
MIDDLE,2022/07/09 16:09:36,Kaisa,Kayn,Yone,Gwen,Rammus,Jayce,LeeSin,Ahri,Kalista,Blitzcrank,1787,True,5,3,5,256,13838,12450,13451,13730,7680,17259,17812,19451,18108,8556,19724,32403,26951,31745,18677,False,False,5,9,29,0.9915128429844705,8,0,200,23,22,1,3,0,1
MIDDLE,2022/07/09 15:29:51,Quinn,Taliyah,Yone,Zeri,Leona,Darius,Poppy,Corki,Draven,Renata,1731,False,7,6,3,259,11649,8680,15167,10592,7278,18387,11970,20217,11187,4087,18103,25299,27607,19380,19103,True,False,4,8,27,0.948925441196474,6,0,200,15,25,1,0,0,1
MIDDLE,2022/07/09 14:50:44,Fiora,Ekko,Yasuo,Kaisa,Blitzcrank,Renekton,Nidalee,Kalista,Corki,Taric,1852,False,10,5,5,215,13963,14606,15055,15943,9490,21571,29827,23239,26004,13402,36870,38165,26485,22585,23092,False,False,3,9,29,0.9647740801768467,3,2,100,36,32,2,3,0,1
MIDDLE,2022/07/08 03:57:39,Gnar,Belveth,Corki,Draven,Ashe,Azir,Vi,Sylas,Zeri,Rakan,1189,True,6,2,7,175,10544,7670,11234,13750,6384,14206,4100,19670,17634,9746,13414,15645,9771,8329,7170,False,True,2,9,14,0.7446759149597552,3,0,200,25,7,1,3,0,0
Invalid,2022/07/08 03:40:44,MissFortune,33,False,0,0,0,4,610,0,57,False,False,NULL,0,0,NULL,0,0,100,0,0,NULL,0,NULL,NULL
TOP,2022/07/08 02:49:02,Yone,Belveth,Akali,Tristana,Yuumi,Tryndamere,Gragas,Yasuo,Lucian,Rakan,1218,True,3,6,7,114,7651,11106,8626,10895,6464,15735,19275,18498,10346,7033,13208,19298,16712,8390,6936,False,False,2,7,14,0.7311956403254257,2,0,100,26,14,2,2,0,0
MIDDLE,2022/07/08 02:05:43,Gnar,Rumble,Yone,Seraphine,Ashe,Sejuani,Belveth,Taliyah,Zeri,Yuumi,1153,False,1,4,1,151,6991,7339,7146,6975,5544,10416,12832,8529,8830,6538,17157,15308,15010,14064,10045,False,False,2,7,11,0.5725804858079462,0,0,100,11,28,2,0,0,0
MIDDLE,2022/07/07 23:40:59,Gwen,Kayn,Yone,Kalista,Renata,Sylas,LeeSin,Taliyah,Zeri,Ashe,2170,False,1,9,5,201,14652,21297,11694,19428,11701,31278,51609,19879,44000,14925,44316,54012,37128,53199,30644,False,False,8,11,41,1.14106935276604,12,1,100,36,53,2,1,0,2
TOP,2022/07/07 23:16:22,Yone,Viego,Ahri,KogMaw,Nami,Nasus,Belveth,Taliyah,Lucian,Nautilus,1116,True,4,4,7,132,8332,10592,8665,9872,6346,15075,12997,9490,11145,7433,12553,20131,10471,9149,7963,False,False,3,9,18,0.9840983683308352,3,0,100,26,8,2,1,0,0
MIDDLE,2022/07/07 22:32:21,Gangplank,Taliyah,Yone,Jinx,Nautilus,Akali,Talon,Leblanc,Aphelios,Renata,2227,True,11,6,7,251,14218,14254,19280,18025,10144,25302,27554,35983,33236,7963,39946,27768,36182,26123,18602,False,False,10,14,31,0.8354136683934306,5,2,100,27,33,1,3,0,1
MIDDLE,2022/07/07 01:55:13,Shyvana,Viego,Sylas,Kalista,Amumu,Gragas,Belveth,Akshan,KogMaw,Alistar,2045,False,10,5,15,240,14456,15011,17360,18049,8933,33114,29215,29557,36999,12315,47323,46663,39128,34463,30798,False,False,6,15,41,1.2196510964874268,6,0,100,41,38,1,2,0,0
MIDDLE,2022/07/07 01:13:21,Olaf,Belveth,Leblanc,Varus,Pyke,Poppy,Rammus,Akali,Yone,Amumu,1720,False,2,2,8,219,11801,12011,10691,11218,9306,20901,19841,17680,20405,8290,27270,31274,19414,24532,17915,False,False,6,18,29,1.027110674818882,8,0,200,24,29,2,1,0,0
MIDDLE,2022/07/07 00:43:31,Jayce,Vi,Zoe,Karma,Trundle,Fiora,Nocturne,Sylas,Zeri,Renata,1429,False,3,7,4,206,9295,8651,9591,6909,6299,19045,12862,21392,9179,4206,15739,24471,15774,17413,16575,False,False,3,18,38,1.6055917781061628,7,0,100,14,29,0,1,0,0
MIDDLE,2022/07/07 00:05:43,Shyvana,Belveth,Sylas,Kalista,Senna,Fiora,Viego,Renata,Zeri,Viktor,1783,False,9,7,5,220,9673,8972,12902,16909,9132,11808,10574,23460,25866,17206,37114,32683,39043,32136,19259,False,False,6,9,20,0.6940723768017183,1,0,200,20,37,0,2,0,0
